,CODE POSTAL,geom_x_y,NOM DE LA COMMUNE
0,1360,"45.8591464826,5.13989505865",BELIGNEUX
1,1470,"45.8374974718,5.48285330863",BENONCES
2,1800,"45.8736786869,5.2211032563",CHARNOZ SUR AIN
3,1320,"45.9748017433,5.2416027725",CHATILLON LA PALUD
4,1190,"46.38249255,4.96288275972",CHEVROUX
5,1300,"45.7361469025,5.62670101041",COLOMIEU
6,1250,"46.2505107235,5.47152467919",CORVEISSIAT
7,1250,"46.1611241927,5.42944457639",HAUTECOURT ROMANECHE
8,1340,"46.3660828991,5.11429701617",JAYAT
9,1330,"45.9859131165,4.98196682865",LAPEYROUSE
10,1400,"46.1037951263,5.03001967494",ST GEORGES SUR RENON
11,1700,"45.8343709108,4.97726215174",ST MAURICE DE BEYNOST
12,1390,"45.8745670311,4.9639268325",TRAMOYES
13,1560,"46.4848229774,5.10590413121",VERNOUX
14,1260,"45.8898392612,5.68999399947",VIEU
15,1320,"46.0099989032,5.25214547187",VILLETTE SUR AIN
16,2200,"49.3567574344,3.34051688283",BELLEU
17,2160,"49.4022354002,3.65944342757",BOURG ET COMIN
18,2300,"49.6372659106,3.17347612819",CAUMONT
19,2000,"49.4794437147,3.51936895626",CHAVIGNON
20,2360,"49.7222192886,4.1011989282",CHERY LES ROZOY
21,2260,"49.9739945177,3.98660655282",CLAIRFONTAINE
22,2270,"49.698624191,3.62256564798",CRECY SUR SERRE
23,2140,"49.7690562311,4.04218248631",DAGNY LAMBERCY
24,2450,"50.0482154856,3.69825469199",FESMY LE SART
25,2110,"49.8785724713,3.42380596752",FONTAINE NOTRE DAME
26,2110,"49.9252841672,3.36796234214",FONTAINE UTERTE
27,2480,"49.7825905619,3.1831286327",HAPPENCOURT
28,2140,"49.8127276252,4.06715502895",JEANTES
29,2440,"49.732033107,3.31099377857",LY FONTAINE
30,2360,"49.7544947391,4.07631392389",MORGNY EN THIERACHE
31,2390,"49.8554002239,3.46831298648",NEUVILLETTE
32,2480,"49.729996536,3.14607261695",OLLEZY
33,2290,"49.3995301311,3.23736511582",OSLY COURTIL
34,2160,"49.391846031,3.62003836186",PONT ARCY
35,2300,"49.5099540337,3.18837580055",ST AUBIN
36,2410,"49.5697880929,3.38679579518",SEPTVAUX
37,2240,"49.7647253763,3.42321314919",SERY LES MEZIERES
38,2510,"49.9903433031,3.63008652624",VENEROLLES
39,2130,"49.1706936984,3.47593842959",VILLENEUVE SUR FERE
40,3700,"46.1214944433,3.39719062136",BELLERIVE SUR ALLIER
41,3250,"46.0244474804,3.75155529865",LA CHABANNE
42,3500,"46.3463711102,3.31483781041",CONTIGNY
43,3470,"46.4751096526,3.86330653833",COULANGES
44,3190,"46.4529820454,2.65343756042",GIVARLAIS
45,3500,"46.3446298238,3.17548675407",LAFELINE
46,3270,"46.0642575713,3.46749665689",ST YORRE
47,3140,"46.2848407144,3.04794632227",TARGET
48,4420,"44.1681621392,6.30347351863",LE BRUSQUET
49,4300,"43.8932434369,5.776452248",DAUPHIN
50,4420,"44.1971990157,6.32157607452",LA JAVIE
51,4240,"44.0401459693,6.64532905257",MEAILLES
52,4190,"43.9944767361,5.96601755581",LES MEES
53,4150,"43.9754850716,5.67501221174",REVEST DES BROUSSES
54,4170,"44.1071929199,6.48931325437",THORAME BASSE
55,5110,"44.4300646552,5.90582685015",BARCILLONNETTE
56,5000,"44.5553227405,6.15570739329",LA BATIE VIEILLE
57,5700,"44.4248796516,5.61094352039",L EPINE
58,5700,"44.4784087163,5.64803205429",LA PIARRE
59,5000,"44.5932114107,6.14883098142",LA ROCHETTE
60,5300,"44.3196073716,5.88311432396",UPAIX
61,6470,"44.1081242884,6.97212458083",BEUIL
62,6740,"43.6656345765,6.9791405929",CHATEAUNEUF GRASSE
63,6390,"43.7999098278,7.29412423176",CHATEAUNEUF VILLEVIEILLE
64,6230,"43.687178893,7.32993632437",ST JEAN CAP FERRAT
65,6710,"43.9741390022,7.0424567137",THIERY
66,6450,"43.9273181411,7.23864462941",UTELLE
67,6560,"43.628288325,7.02954476696",VALBONNE
68,7270,"45.0115690732,4.71536623274",COLOMBIER LE JEUNE
69,7160,"44.8519150741,4.35842422121",DORNAS
70,7140,"44.4213974082,4.07179678867",GRAVIERES
71,7530,"44.7621284676,4.33354571625",LAVIOLLE
72,7800,"44.7787195427,4.73009856646",ROMPON
73,7310,"44.8627438374,4.25132239874",ST MARTIAL
74,7360,"44.7919043427,4.63828690293",ST VINCENT DE DURFORT
75,7150,"44.3884517023,4.36713374298",SALAVAS
76,7510,"44.7709560867,4.1691617243",USCLADES ET RIEUTORD
77,7140,"44.392206287,4.11524168722",LES VANS
78,7410,"45.1081841616,4.60737715144",VAUDEVANT
79,8210,"49.6301403979,5.06216316575",AMBLIMONT
80,8370,"49.6152631354,5.29558462267",AUFLANCE
81,8430,"49.6016790531,4.66754593239",BAALONS
82,8160,"49.6725974863,4.71841917003",BALAIVES ET BUTZ
83,8190,"49.4914098748,4.15107633205",BALHAM
84,8130,"49.5343083794,4.58778435914",ECORDAL
85,8160,"49.67277982,4.82911892902",HANNOGNE ST MARTIN
86,8300,"49.5827671359,4.2987122942",HAUTEVILLE
87,8400,"49.3047517017,4.6426157479",LIRY
88,8250,"49.3140144117,4.91977304358",MARCQ
89,8310,"49.4366027969,4.44985286744",MENIL ANNELLES
90,8140,"49.6929049378,4.99641991785",LA MONCELLE
91,8090,"49.7906751202,4.74345986239",MONTCY NOTRE DAME
92,8390,"49.5494900352,4.85937044031",LE MONT DIEU
93,8310,"49.3075159297,4.51140608204",ST ETIENNE A ARNES
94,8400,"49.3554291298,4.66082182219",SUGNY
95,8360,"49.5106550755,4.25851649147",TAIZY
96,9230,"43.0834902757,1.10102979799",BEDEILLE
97,9800,"42.8335034576,1.03424218178",LES BORDES SUR LEZ
98,9500,"43.021523452,1.96173407084",CAMON
99,9290,"43.0659024827,1.42088834338",GABRE
100,9500,"43.1073463894,1.8140686681",MANSES
101,9160,"43.0324532484,0.992112596886",MAUVEZIN DE PRAT
102,9240,"42.9638469564,1.41313214864",MONTAGAGNE
103,9100,"43.1595834502,1.5479581856",ST AMANS
104,9800,"42.9521955213,0.928566795359",ST JEAN DU CASTILLONNAIS
105,9700,"43.2265667321,1.57373634569",SAVERDUN
106,9800,"42.9194982505,1.01182252209",SOR
107,9140,"42.8967635679,1.19463483145",SOUEIX ROGALLE
108,9400,"42.8596289181,1.5816290081",SURBA
109,9140,"42.7738686412,1.2631778859",USTOU
110,9130,"43.2055435306,1.3790061442",STE SUZANNE
111,10700,"48.5278271069,4.14197110248",ARCIS SUR AUBE
112,10220,"48.3556065426,4.20154600861",ASSENCIERES
113,10240,"48.4783453651,4.41533916578",AULNAY
114,10220,"48.3493701075,4.40891289591",BREVONNES
115,10400,"48.4683742502,3.40826279907",COURCEROY
116,10250,"48.0158955868,4.46256663692",COURTERON
117,10100,"48.4404732902,3.6537864039",LA FOSSE CORDUAN
118,10300,"48.3057699165,3.91365964088",MACEY
119,10160,"48.1523036289,3.86532738324",MARAYE EN OTHE
120,10500,"48.4332955789,4.38844568734",MOLINS SUR AUBE
121,10220,"48.3987860925,4.27579822531",ONJON
122,10700,"48.5339280475,4.06177485223",POUAN LES VALLEES
123,10290,"48.4140043943,3.64891002916",RIGNY LA NONNEUSE
124,10100,"48.5185939749,3.72154151549",ROMILLY SUR SEINE
125,10300,"48.2963408998,4.02333022061",STE SAVINE
126,10600,"48.407677761,4.00228117316",VILLACERF
127,10410,"48.3182253913,4.14937893854",VILLECHETIF
128,10140,"48.2487579972,4.39081684128",LA VILLENEUVE AU CHENE
129,10200,"48.2360883713,4.76532474234",VOIGNY
130,11170,"43.2652998624,2.17459434048",ALZONNE
131,11800,"43.2207146123,2.50470148133",BADENS
132,11140,"42.7846761103,2.13835524399",BESSEDE DE SAULT
133,11300,"42.9957636831,2.16146598721",BOURIEGE
134,11140,"42.7166535371,2.1756411124",LE BOUSQUET
135,11220,"43.0641782017,2.56293845393",CAUNETTES EN VAL
136,11500,"42.8636835943,2.11985831912",COUDONS
137,11400,"43.2708066932,1.94828248478",FENDEILLE
138,11300,"42.9618144716,2.11582079753",FESTES ET ST ANDRE
139,11220,"43.0648889852,2.47120935323",LABASTIDE EN VAL
